accountnum,mergeto_account
Expected Records,65708
050317836,50317836
050317837,50317837
050317838,50317838
050317839,50317839
050317840,50317840
050317841,50317841
050317842,50317842
050317843,50317843
050317844,50317844
050317845,50317845
050317846,50317846
050317847,50317847
050317848,50317848
050317849,50317849
050317850,50317850
050317851,50317851
050317852,50317852
050317853,50317853
050317854,50317854
050317855,50317855
050317856,50317856
050317857,50317857
050317858,50317858
050317860,50317860
050317861,50317861
050317862,50317862
050317863,50317863
050317864,50317864
050317866,50317866
050317867,50317867
050317868,50317868
050317869,50317869
050317870,50317870
050317871,50317871
050317872,50317872
050317873,50317873
050317874,50317874
050317875,50317875
050317876,50317876
050317877,50317877
050317878,50317878
050317879,50317879
050317880,50317880
050317881,50317881
050317882,50317882
050317883,50317883
050317884,50317884
050317885,50317885
050317886,50317886
050317887,50317887
050317888,50317888
050317889,50317889
050317890,50317890
050317891,50317891
050317894,50317894
050317897,50317897
050317898,50317898
050317899,50317899
050317900,50317900
050317902,50317902
050317903,50317903
050317904,50317904
050317905,50317905
050317906,50317906
050317907,50317907
050317908,50317908
050317909,50317909
050317910,50317910
050317910,41925141
050317911,50317911
050317912,50317912
050317912,42046939
050317913,50317913
050317914,50317914
050317915,50317915
050317916,50317916
050317917,50317917
050317918,50317918
050317919,50317919
050317920,50317920
050317921,50317921
050317922,50317922
050317923,50317923
050317924,50317924
050317925,50317925
050317926,50317926
050317927,50317927
050317928,50317928
050317929,50317929
050317930,50317930
050317931,50317931
050317932,50317932
050317933,50317933
050317934,50317934
050317935,50317935
050317936,50317936
050317937,50317937
050317938,50317938
050317939,50317939
050317940,50317940
050317941,50317941
050317942,50317942
050317943,50317943
050317944,50317944
050317945,50317945
050317946,50317946
050317947,50317947
050317949,50317949
050317950,50317950
050317951,50317951
050317952,50317952
050317953,50317953
050317954,50317954
050317955,50317955
050317956,50317956
050317956,41694339
050317957,50317957
050317958,50317958
050317959,50317959
050317960,50317960
050317961,50317961
